scope_item_id,author_id,audit_item_id,proposal_no
scope-0155,author_a,audit-0074,3
scope-0156,author_a,audit-0072,1
scope-0157,author_b,audit-0072,3
scope-0158,author_a,audit-0110,1
scope-0159,author_b,audit-0083,2
scope-0160,author_b,audit-0057,1
scope-0161,author_b,audit-0078,1
scope-0162,author_b,audit-0037,3
scope-0163,author_b,audit-0052,2
scope-0164,author_a,audit-0011,2
scope-0165,author_a,audit-0094,3
scope-0166,author_a,audit-0085,1
scope-0167,author_b,audit-0057,2
scope-0168,author_b,audit-0038,3
scope-0169,author_a,audit-0079,1
scope-0170,author_b,audit-0081,2
scope-0171,author_a,audit-0048,2
scope-0172,author_b,audit-0115,2
scope-0173,author_b,audit-0044,1
scope-0174,author_b,audit-0022,1
scope-0175,author_b,audit-0032,3
scope-0176,author_b,audit-0005,2
scope-0177,author_b,audit-0005,1
scope-0178,author_a,audit-0064,3
scope-0179,author_a,audit-0054,2
scope-0180,author_a,audit-0103,3
scope-0181,author_b,audit-0045,3
scope-0182,author_b,audit-0012,2
scope-0183,author_a,audit-0116,1
scope-0184,author_a,audit-0099,3
scope-0185,author_a,audit-0006,1
scope-0186,author_b,audit-0050,1
scope-0187,author_a,audit-0059,1
scope-0188,author_b,audit-0105,3
scope-0189,author_a,audit-0099,1
scope-0190,author_b,audit-0031,3
scope-0191,author_b,audit-0118,2
scope-0192,author_a,audit-0085,2
scope-0193,author_b,audit-0032,2
scope-0194,author_b,audit-0060,1
scope-0195,author_b,audit-0028,2
scope-0196,author_b,audit-0089,2
scope-0197,author_a,audit-0005,2
scope-0198,author_a,audit-0056,1
scope-0199,author_b,audit-0010,2
scope-0200,author_b,audit-0064,3
scope-0201,author_b,audit-0085,2
scope-0202,author_b,audit-0087,2
scope-0203,author_b,audit-0046,2
scope-0204,author_a,audit-0070,3
scope-0205,author_a,audit-0077,1
scope-0206,author_b,audit-0001,2
scope-0207,author_a,audit-0080,3
scope-0208,author_a,audit-0057,3
scope-0209,author_a,audit-0090,2
scope-0210,author_b,audit-0090,3
scope-0211,author_a,audit-0048,1
scope-0212,author_a,audit-0053,2
scope-0213,author_b,audit-0061,2
scope-0214,author_a,audit-0022,2
scope-0215,author_b,audit-0079,1
scope-0216,author_b,audit-0110,1
scope-0217,author_a,audit-0096,3
scope-0218,author_a,audit-0087,3
scope-0219,author_a,audit-0020,3
scope-0220,author_b,audit-0095,1
scope-0221,author_b,audit-0002,1
scope-0222,author_b,audit-0029,1
scope-0223,author_b,audit-0046,3
scope-0224,author_b,audit-0093,2
scope-0225,author_a,audit-0039,3
scope-0226,author_b,audit-0054,3
scope-0227,author_a,audit-0004,3
scope-0228,author_a,audit-0021,3
scope-0229,author_b,audit-0016,2
scope-0230,author_b,audit-0062,3
scope-0231,author_a,audit-0066,1
scope-0232,author_a,audit-0067,2
scope-0233,author_b,audit-0058,2
scope-0234,author_b,audit-0028,3
scope-0235,author_b,audit-0050,2
scope-0236,author_b,audit-0037,1
scope-0237,author_a,audit-0060,1
scope-0238,author_a,audit-0094,2
scope-0239,author_b,audit-0033,3
scope-0240,author_a,audit-0037,2
scope-0241,author_a,audit-0087,2
scope-0242,author_b,audit-0094,2
scope-0243,author_b,audit-0007,3
scope-0244,author_b,audit-0063,3
scope-0245,author_b,audit-0067,2
scope-0246,author_b,audit-0075,2
scope-0247,author_a,audit-0041,1
scope-0248,author_a,audit-0013,1
scope-0249,author_b,audit-0080,1
scope-0250,author_b,audit-0042,1
scope-0251,author_a,audit-0078,2
scope-0252,author_b,audit-0015,1
scope-0253,author_a,audit-0024,2
scope-0254,author_a,audit-0015,2
scope-0255,author_b,audit-0068,2
scope-0256,author_a,audit-0038,3
scope-0257,author_a,audit-0115,2
scope-0258,author_b,audit-0005,3
scope-0259,author_a,audit-0089,3
scope-0260,author_a,audit-0058,2
scope-0261,author_b,audit-0061,3
